country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Armenia,Men,1970-1979,High,290.4275660812855,42.65120527148247,30.315651148557663
Armenia,Men,1970-1979,Low,437.11633367836475,46.48228317499161,34.01017212867737
Armenia,Men,1980-1989,High,32.012494787573814,5.287639945745468,3.403716892004013
Armenia,Men,1980-1989,Low,52.73247966170311,11.279702872037888,8.788255840539932
Armenia,Women,1960-1969,High,281.21100121736526,28.808346703648567,23.519524842500687
Armenia,Women,1960-1969,Low,252.27364271879196,11.504063963890076,7.215260863304138
Armenia,Women,1970-1979,High,811.7968855053186,102.07113334536552,74.11891052126884
Armenia,Women,1970-1979,Low,790.78334659338,50.489040926098824,26.9707919806242
Armenia,Women,1980-1989,High,114.50154432654381,15.508227944374084,14.864369928836823
Armenia,Women,1980-1989,Low,106.3158880919218,8.116074919700623,7.291297942399979
Austria,Men,1910-1919,High,0.8116897210351937,0,NA
Austria,Men,1910-1919,Low,0.6888960132672608,0,NA
Austria,Men,1920-1929,High,5.680559433754125,0,NA
Austria,Men,1920-1929,Low,6.216637088361146,1.1245254526864361,0.4560692801909738
Austria,Men,1920-1929,NA,0.37904630550621654,0,NA
Austria,Men,1930-1939,High,19.68328916950435,1.0089262278957456,0.46587400302497883
Austria,Men,1930-1939,Low,19.590668985542706,2.7665883339506077,0.34630001759279194
Austria,Men,1930-1939,NA,0.2528135530257174,0,NA
Austria,Men,1940-1949,High,33.94007969275572,3.1004906133562575,0.42467392133546866
Austria,Men,1940-1949,Low,54.08484838078646,10.344529185634585,0.6496209992833952
Austria,Men,1940-1949,NA,0.11768579232207177,0,NA
Austria,Men,1950-1959,High,51.030864812820425,7.608389640046374,0.8013809188893397
Austria,Men,1950-1959,Low,63.99378102756895,8.207093127013277,2.5866369798153737
Austria,Men,1950-1959,NA,0.7526849963915385,0,NA
Austria,Men,1960-1969,High,285958.4817978756,68407.69090033219,23604.316139027953
Austria,Men,1960-1969,Low,219464.47331667936,46262.984774424534,18692.178142695775
Austria,Men,1960-1969,NA,3.6166582268421874,1.0045977352274997,0.2764216100016341
Austria,Men,1970-1979,High,71456.32557583823,30447.671707756355,12387.193878795526
Austria,Men,1970-1979,Low,172103.5179056891,67733.77462888313,27145.977873128384
Austria,Men,1970-1979,NA,0.9983702340418432,0.8078871832685834,0
Austria,Men,1980-1989,High,16.411109169723563,6.47871837931455,1.5126377580714245
Austria,Men,1980-1989,Low,8.536119262279978,3.085477666777832,0.5492867227029365
Austria,Men,1980-1989,NA,0.3299203454222912,0.3299203454222912,0
Austria,Women,1910-1919,High,0.12257953163423174,0.12257953163423174,0
Austria,Women,1910-1919,Low,0.11671546371091956,0.11671546371091956,0
Austria,Women,1920-1929,High,6.5727038560056235,2.7126496178964494,1.1591161691879535
Austria,Women,1920-1929,Low,10.882570484425372,2.2332240671470274,0
Austria,Women,1920-1929,NA,0.2587800174237813,0,NA
Austria,Women,1930-1939,High,18.293324333649466,2.5093904949360883,0.4889930332575947
Austria,Women,1930-1939,Low,33.00984051815692,2.1101326887309533,0.1755870394058192
Austria,Women,1930-1939,NA,1.0837028464052123,0,NA
Austria,Women,1940-1949,High,35.805361636184045,5.814298462722137,0.5267868934910034
Austria,Women,1940-1949,Low,76.50691953668337,6.028926618395298,1.3298256405466429
Austria,Women,1940-1949,NA,2.107933005333347,0.5187752411494664,0
Austria,Women,1950-1959,High,31.04149962263655,6.791012285974296,1.9346187792425633
Austria,Women,1950-1959,Low,71.23060442042625,6.328528431572064,2.123098538950922
Austria,Women,1950-1959,NA,1.1046463526772148,0,NA
Austria,Women,1960-1969,High,270987.992301567,60728.43371972852,14796.974095961472
Austria,Women,1960-1969,Low,222450.2147830804,28588.05417419341,8812.744263956905
Austria,Women,1960-1969,NA,1.8762963892918751,0.2505793354070782,0
Austria,Women,1970-1979,High,61498.61354069406,22228.086099532633,6090.858284537211
Austria,Women,1970-1979,Low,185755.8934924936,35549.06485246387,7870.690015703021
Austria,Women,1970-1979,NA,1.227453959548062,0.04824641918321948,0.04824641918321948
Austria,Women,1980-1989,High,11.22783677804076,2.413230670000801,0.5241715596219692
Austria,Women,1980-1989,Low,9.519735611236463,2.3412595872149615,1.3949960760790052
Azerbaijan,Men,1940-1949,High,26.970308229327202,1.5364990234375,1.5364990234375
Azerbaijan,Men,1940-1949,Low,28.457685068249702,0,NA
Azerbaijan,Men,1950-1959,High,221.23746430128813,7.510354906320572,2.927881956100464
Azerbaijan,Men,1950-1959,Low,228.27925884351134,14.042266070842743,5.206243991851807
